Date,High,Low,Open,Close,Volume,Adj Close
<<<<<<< HEAD
=======
2019-04-30,124.20999908447266,123.45999908447266,124.20999908447266,123.5999984741211,155500,123.5999984741211
2019-05-01,123.94999694824219,122.79000091552734,123.94999694824219,122.91999816894531,94500,122.91999816894531
2019-05-02,123.1500015258789,122.33999633789062,122.91999816894531,122.58999633789062,84000,122.58999633789062
2019-05-03,123.76000213623047,122.61000061035156,122.61000061035156,123.6500015258789,112400,123.6500015258789
2019-05-06,123.0199966430664,121.33000183105469,121.62000274658203,122.9800033569336,137400,122.9800033569336
2019-05-07,123.3499984741211,121.9000015258789,123.0,122.5,158400,122.5
2019-05-08,122.6500015258789,121.70999908447266,122.55000305175781,121.76000213623047,140900,121.76000213623047
2019-05-09,119.36000061035156,117.75,119.08000183105469,119.31999969482422,273300,119.31999969482422
2019-05-10,119.54000091552734,117.7300033569336,118.91999816894531,119.2699966430664,143000,119.2699966430664
>>>>>>> d270a46c1479d4c5883c8d35a26c7ba481c56734
2019-05-13,119.02999877929688,117.79000091552734,118.0,118.26000213623047,208600,118.26000213623047
2019-05-14,119.73999786376953,118.7300033569336,118.87000274658203,119.06999969482422,136800,119.06999969482422
2019-05-15,120.88999938964844,118.45999908447266,118.8499984741211,120.63999938964844,274300,120.63999938964844
2019-05-16,120.29000091552734,119.0,119.1500015258789,119.9000015258789,160900,119.9000015258789
2019-05-17,119.08999633789062,118.19999694824219,118.37999725341797,118.4000015258789,334100,118.4000015258789
2019-05-20,118.79000091552734,117.87999725341797,118.12000274658203,118.11000061035156,156300,118.11000061035156
2019-05-21,118.38999938964844,117.45999908447266,117.8499984741211,118.25,124300,118.25
2019-05-22,117.9800033569336,117.2699966430664,117.77999877929688,117.31999969482422,107600,117.31999969482422
2019-05-23,117.86000061035156,117.05000305175781,117.37999725341797,117.47000122070312,116500,117.47000122070312
2019-05-24,118.87999725341797,118.04000091552734,118.83999633789062,118.55000305175781,121200,118.55000305175781
2019-05-28,120.66000366210938,119.37999725341797,119.87000274658203,119.4000015258789,145300,119.4000015258789
2019-05-29,119.87999725341797,118.9000015258789,119.87999725341797,119.55000305175781,125700,119.55000305175781
2019-05-30,119.91999816894531,119.37999725341797,119.77999877929688,119.75,125900,119.75
<<<<<<< HEAD
2019-05-31,117.72000122070312,117.0999984741211,117.5,117.58000183105469,181300,117.58000183105469
2019-06-03,118.2699966430664,117.44000244140625,117.58000183105469,118.12999725341797,102000,118.12999725341797
2019-06-04,119.7699966430664,118.51000213623047,118.7300033569336,119.54000091552734,228500,119.54000091552734
2019-06-05,121.0,120.04000091552734,120.5,120.22000122070312,136100,120.22000122070312
2019-06-06,121.44999694824219,120.86000061035156,121.05000305175781,121.30000305175781,116600,121.30000305175781
2019-06-07,122.87000274658203,121.87999725341797,121.94999694824219,122.38999938964844,120300,122.38999938964844
2019-06-10,123.93000030517578,123.36000061035156,123.45999908447266,123.48999786376953,118700,123.48999786376953
2019-06-11,125.25,124.37999725341797,124.5,124.98999786376953,153500,124.98999786376953
2019-06-12,126.0,125.0999984741211,125.0999984741211,125.68000030517578,233100,125.68000030517578
2019-06-13,124.79000091552734,124.19000244140625,124.44999694824219,124.79000091552734,119800,124.79000091552734
=======
2019-05-31,117.72000122070312,117.0999984741211,117.5,117.58000183105469,180343,117.58000183105469
>>>>>>> d270a46c1479d4c5883c8d35a26c7ba481c56734
